municipio_norm,municipio_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
SAO JOSE DOS AUSENTES,São José dos Ausentes,Caxias do Sul,Vacaria,Nordeste Rio-grandense
SAO LEOPOLDO,São Leopoldo,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
SAO LOURENCO DO SUL,São Lourenço do Sul,Pelotas,Pelotas,Sudeste Rio-grandense
SAO LUIZ GONZAGA,São Luiz Gonzaga,Ijuí,São Luiz Gonzaga,Noroeste Rio-grandense
SAO MARCOS,São Marcos,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense
SAO MARTINHO,São Martinho,Ijuí,Três Passos,Noroeste Rio-grandense
SAO MARTINHO DA SERRA,São Martinho da Serra,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
SAO MIGUEL DAS MISSOES,São Miguel das Missões,Ijuí,Santo Ângelo,Noroeste Rio-grandense
SAO NICOLAU,São Nicolau,Ijuí,São Luiz Gonzaga,Noroeste Rio-grandense
SAO PAULO DAS MISSOES,São Paulo das Missões,Ijuí,Cerro Largo,Noroeste Rio-grandense
SAO PEDRO DA SERRA,São Pedro da Serra,Porto Alegre,Montenegro,Metropolitana de Porto Alegre
SAO PEDRO DAS MISSOES,São Pedro das Missões,Passo Fundo,Palmeira das Missões,Noroeste Rio-grandense
SAO PEDRO DO BUTIA,São Pedro do Butiá,Ijuí,Cerro Largo,Noroeste Rio-grandense
SAO PEDRO DO SUL,São Pedro do Sul,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
SAO SEBASTIAO DO CAI,São Sebastião do Caí,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
SAO SEPE,São Sepé,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
SAO VALENTIM,São Valentim,Passo Fundo,Erechim,Noroeste Rio-grandense
SAO VALENTIM DO SUL,São Valentim do Sul,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
SAO VALERIO DO SUL,São Valério do Sul,Ijuí,Ijuí,Noroeste Rio-grandense
SAO VENDELINO,São Vendelino,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
SAO VICENTE DO SUL,São Vicente do Sul,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
SAPIRANGA,Sapiranga,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
SAPUCAIA DO SUL,Sapucaia do Sul,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
SARANDI,Sarandi,Passo Fundo,Carazinho,Noroeste Rio-grandense
SEBERI,Seberi,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
SEDE NOVA,Sede Nova,Ijuí,Três Passos,Noroeste Rio-grandense
SEGREDO,Segredo,Santa Cruz do Sul - Lajeado,Sobradinho,Centro Oriental Rio-grandense
SELBACH,Selbach,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
SENADOR SALGADO FILHO,Senador Salgado Filho,Ijuí,Santa Rosa,Noroeste Rio-grandense
SENTINELA DO SUL,Sentinela do Sul,Porto Alegre,Camaquã,Metropolitana de Porto Alegre
SERAFINA CORREA,Serafina Corrêa,Caxias do Sul,Nova Prata - Guaporé,Nordeste Rio-grandense
SERIO,Sério,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
SERTAO,Sertão,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
SERTAO SANTANA,Sertão Santana,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
SETE DE SETEMBRO,Sete de Setembro,Ijuí,Santo Ângelo,Noroeste Rio-grandense
SEVERIANO DE ALMEIDA,Severiano de Almeida,Passo Fundo,Erechim,Noroeste Rio-grandense
SILVEIRA MARTINS,Silveira Martins,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
SINIMBU,Sinimbu,Santa Cruz do Sul - Lajeado,Santa Cruz do Sul,Centro Oriental Rio-grandense
SOBRADINHO,Sobradinho,Santa Cruz do Sul - Lajeado,Sobradinho,Centro Oriental Rio-grandense
SOLEDADE,Soledade,Passo Fundo,Soledade,Noroeste Rio-grandense
TABAI,Tabaí,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
TAPEJARA,Tapejara,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
TAPERA,Tapera,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
TAPES,Tapes,Porto Alegre,Camaquã,Metropolitana de Porto Alegre
TAQUARA,Taquara,Porto Alegre,Taquara - Parobé - Igrejinha,Metropolitana de Porto Alegre
TAQUARI,Taquari,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
TAQUARUCU DO SUL,Taquaruçu do Sul,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
TAVARES,Tavares,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
TENENTE PORTELA,Tenente Portela,Ijuí,Três Passos,Noroeste Rio-grandense
TERRA DE AREIA,Terra de Areia,Porto Alegre,Tramandaí - Osório,Metropolitana de Porto Alegre
TEUTONIA,Teutônia,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
TIO HUGO,Tio Hugo,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
TIRADENTES DO SUL,Tiradentes do Sul,Ijuí,Três Passos,Noroeste Rio-grandense
TOROPI,Toropi,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
TORRES,Torres,Porto Alegre,Torres,Metropolitana de Porto Alegre
TRAMANDAI,Tramandaí,Porto Alegre,Tramandaí - Osório,Metropolitana de Porto Alegre
TRAVESSEIRO,Travesseiro,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
TRES ARROIOS,Três Arroios,Passo Fundo,Erechim,Noroeste Rio-grandense
TRES CACHOEIRAS,Três Cachoeiras,Porto Alegre,Torres,Metropolitana de Porto Alegre
TRES COROAS,Três Coroas,Porto Alegre,Taquara - Parobé - Igrejinha,Metropolitana de Porto Alegre
TRES DE MAIO,Três de Maio,Ijuí,Três de Maio,Noroeste Rio-grandense
TRES FORQUILHAS,Três Forquilhas,Porto Alegre,Torres,Metropolitana de Porto Alegre
TRES PALMEIRAS,Três Palmeiras,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
TRES PASSOS,Três Passos,Ijuí,Três Passos,Noroeste Rio-grandense
TRINDADE DO SUL,Trindade do Sul,Passo Fundo,Nonoai,Noroeste Rio-grandense
TRIUNFO,Triunfo,Porto Alegre,Charqueadas - Triunfo - São Jerônimo,Metropolitana de Porto Alegre
TUCUNDUVA,Tucunduva,Ijuí,Santa Rosa,Noroeste Rio-grandense
TUNAS,Tunas,Santa Cruz do Sul - Lajeado,Sobradinho,Noroeste Rio-grandense
TUPANCI DO SUL,Tupanci do Sul,Passo Fundo,Lagoa Vermelha,Noroeste Rio-grandense
